dX,dY,WHEN,SYLLABLE,X,Y,cX,cY
0,-5,0.0104141,Yield,0,0,0,5
-21,-3,0.0104141,Yield,0,0,-21,8
-10,-4,0.01042,Yield,0,0,-31,12
-15,-5,0.0104316,Yield,0,0,-46,17
-15,-4,0.0104432,Yield,0,0,-61,21
-11,-4,0.0104548,Yield,0,0,-72,25
-10,-3,0.0104664,Yield,0,0,-82,28
-10,-4,0.0104762,Yield,0,0,-92,32
-10,-4,0.0104838,Yield,0,0,-102,36
-7,-5,0.0104954,Yield,0,0,-109,41
-6,-12,0.010507,Yield,0,0,-115,53
-5,-20,0.0105186,Yield,0,0,-120,73
-3,-26,0.0105302,Yield,0,0,-123,99
-3,-21,0.0105419,Yield,0,0,-126,120
-5,-21,0.0105535,Yield,0,0,-131,141
-9,-18,0.0105651,Yield,0,0,-140,159
-8,-20,0.0105767,Yield,0,0,-148,179
-2,-20,0.0105883,Yield,0,0,-150,199
2,-22,0.0105999,Yield,0,0,-148,221
8,-22,0.0106115,Yield,0,0,-140,243
10,-22,0.0106231,Yield,0,0,-130,265
8,-22,0.0106347,Yield,0,0,-122,287
8,-20,0.0106463,Yield,0,0,-114,307
7,-26,0.010658,Yield,0,0,-107,333
8,-26,0.0106638,Yield,0,0,-99,359
6,-23,0.0106754,Yield,0,0,-93,382
3,-22,0.010687,Yield,0,0,-90,404
3,-20,0.0106986,Yield,0,0,-87,424
3,-20,0.0107102,Yield,0,0,-84,444
-1,-16,0.0107218,Yield,0,0,-85,460
-1,-17,0.0107334,Yield,0,0,-86,477
-1,-14,0.010745,Yield,0,0,-87,491
1,-16,0.0107566,Yield,0,0,-86,507
1,-17,0.0107683,Yield,0,0,-85,524
1,-15,0.0107799,Yield,0,0,-84,539
-3,-15,0.0107915,Yield,0,0,-87,554
-3,-15,0.0108031,Yield,0,0,-90,569
-2,-12,0.0108147,Yield,0,0,-92,581
-1,-11,0.0108263,Yield,0,0,-93,592
-1,-9,0.0108379,Yield,0,0,-94,601
-1,-6,0.0108553,Yield,0,0,-95,607
-1,-4,0.0108669,Yield,0,0,-96,611
-1,-3,0.0108785,Yield,0,0,-97,614
-1,-1,0.0108902,Yield,0,0,-98,615
-1,19,0.0142571,FRAY 1,109,495,-99,596
-3,24,0.0142687,FRAY 1,109,495,-102,572
-3,15,0.0142745,FRAY 1,109,495,-105,557
1,12,0.0142861,FRAY 1,109,495,-104,545
3,10,0.0142977,FRAY 1,109,495,-101,535
2,8,0.0143093,FRAY 1,109,495,-99,527
1,6,0.0143209,FRAY 1,109,495,-98,521
1,4,0.0143325,FRAY 1,109,495,-97,517
1,3,0.0143441,FRAY 1,109,495,-96,514
1,3,0.014466,FRAY 1,109,495,-95,511
1,12,0.0144776,FRAY 1,109,495,-94,499
3,9,0.0144893,FRAY 1,109,495,-91,490
1,8,0.0145009,FRAY 1,109,495,-90,482
1,8,0.0145125,FRAY 1,109,495,-89,474
1,9,0.0145241,FRAY 1,109,495,-88,465
2,12,0.0145357,FRAY 1,109,495,-86,453
1,14,0.0145473,FRAY 1,109,495,-85,439
2,13,0.0145589,FRAY 1,109,495,-83,426
1,16,0.0145705,FRAY 1,109,495,-82,410
1,18,0.0145821,FRAY 1,109,495,-81,392
2,20,0.0145937,FRAY 1,109,495,-79,372
3,21,0.0146054,FRAY 1,109,495,-76,351
2,21,0.014617,FRAY 1,109,495,-74,330
2,22,0.0146286,FRAY 1,109,495,-72,308
2,22,0.0146402,FRAY 1,109,495,-70,286
1,18,0.014646,FRAY 1,109,495,-69,268
1,12,0.0146576,FRAY 1,109,495,-68,256
1,13,0.0146692,FRAY 1,109,495,-67,243
